a8, b6, c4, d6, e4, c5, a4, b6, a8, 
a8, b6, c4, d6, e4, c3, d5, c7, a8, 
a8, b6, c4, d6, e4, c3, d5, b6, a8, 
a8, b6, c4, d6, e4, c3, b5, c7, a8, 
a8, b6, c4, d6, e4, c3, a4, b6, a8, 
a8, b6, c4, d6, c8, d6, e8, c7, a8, 
a8, b6, c4, d6, c8, d6, c8, b6, a8, 
a8, b6, c4, d6, c8, d6, c4, b6, a8, 
a8, b6, c4, d6, c8, d6, b5, c7, a8, 
a8, b6, c4, d6, c8, b6, c8, b6, a8, 
a8, b6, c4, d6, c8, b6, c4, b6, a8, 
a8, b6, c4, d6, c8, b6, a8, b6, a8, 
a8, b6, c4, d6, c8, b6, a8, c7, a8, 
a8, b6, c4, d6, c8, b6, a4, b6, a8, 
a8, b6, c4, d6, c8, b6, d7, b6, a8, 
a8, b6, c4, d6, c8, b6, d5, c7, a8, 
a8, b6, c4, d6, c8, b6, d5, b6, a8, 
a8, b6, c4, d6, c8, e7, d5, c7, a8, 
a8, b6, c4, d6, c8, e7, d5, b6, a8, 
a8, b6, c4, d6, c8, e7, c8, b6, a8, 
a8, b6, c4, d6, c8, a7, b5, c7, a8, 
a8, b6, c4, d6, c8, a7, c8, b6, a8, 
a8, b6, c4, d6, c4, d6, e8, c7, a8, 
a8, b6, c4, d6, c4, d6, c8, b6, a8, 
a8, b6, c4, d6, c4, d6, c4, b6, a8, 
a8, b6, c4, d6, c4, d6, b5, c7, a8, 
a8, b6, c4, d6, c4, d2, c4, b6, a8, 
a8, b6, c4, d6, c4, b6, c8, b6, a8, 
a8, b6, c4, d6, c4, b6, c4, b6, a8, 
a8, b6, c4, d6, c4, b6, a8, b6, a8, 
a8, b6, c4, d6, c4, b6, a8, c7, a8, 
a8, b6, c4, d6, c4, b6, a4, b6, a8, 
a8, b6, c4, d6, c4, b6, d7, b6, a8, 
a8, b6, c4, d6, c4, b6, d5, c7, a8, 
